Date,Precipitation
19330101,0
19330102,0
19330103,3
19330104,0
19330105,20
19330106,19
19330107,0
19330108,0
19330109,0
19330110,0
19330111,5
19330112,7
19330113,10
19330114,13
19330115,0
19330116,0
19330117,0
19330118,0
19330119,1
19330120,2
19330121,1
19330122,2
19330123,0
19330124,1
19330125,0
19330126,0
19330127,0
19330128,0
19330129,0
19330130,0
19330131,0
19330201,0
19330202,0
19330203,1
19330204,0
19330205,0
19330206,2
19330207,5
19330208,2
19330209,0
19330210,0
19330211,0
19330212,0
19330213,0
19330214,0
19330215,0
19330216,0
19330217,0
19330218,0
19330219,0
19330220,0
19330221,0
19330222,0
19330223,0
19330224,0
19330225,0
19330226,0
19330227,0
19330228,0
19330301,0
19330302,0
19330303,0
19330304,0
19330305,0
19330306,0
19330307,0
19330308,0
19330309,12
19330310,0
19330311,0
19330312,4
19330313,0
19330314,0
19330315,0
19330316,0
19330317,9
19330318,26
19330319,0
19330320,0
19330321,0
19330322,0
19330323,0
19330324,0
19330325,0
19330326,0
19330327,0
19330328,0
19330329,0
19330330,0
19330331,0
19330401,0
19330402,0
19330403,88
19330404,18
19330405,0
19330406,0
19330407,0
19330408,0
19330409,0
19330410,0
19330411,0
19330412,0
19330413,17
19330414,0
19330415,0
19330416,0
19330417,0
19330418,0
19330419,0
19330420,0
19330421,4
19330422,0
19330423,0
19330424,0
19330425,0
19330426,0
19330427,36
19330428,1
19330429,2
19330430,0
19330501,0
19330502,1
19330503,0
19330504,89
19330505,1
19330506,15
19330507,89
19330508,0
19330509,0
19330510,6
19330511,29
19330512,34
19330513,0
19330514,0
19330515,0
19330516,0
19330517,0
19330518,0
19330519,0
19330520,36
19330521,0
19330522,95
19330523,4
19330524,0
19330525,0
19330526,99
19330527,0
19330528,0
19330529,0
19330530,13
19330531,0
19330601,0
19330602,138
19330603,114
19330604,16
19330605,14
19330606,0
19330607,0
19330608,6
19330609,0
19330610,0
19330611,0
19330612,0
19330613,0
19330614,0
19330615,136
19330616,1
19330617,0
19330618,0
19330619,0
19330620,0
19330621,0
19330622,0
19330623,97
19330624,17
19330625,0
19330626,0
19330627,0
19330628,0
19330629,1
19330630,0
19330701,39
19330702,25
19330703,23
19330704,114
19330705,0
19330706,3
19330707,0
19330708,23
19330709,0
19330710,0
19330711,0
19330712,0
19330713,0
19330714,38
19330715,147
19330716,0
19330717,16
19330718,9
19330719,11
19330720,0
19330721,0
19330722,0
19330723,0
19330724,0
19330725,0
19330726,0
19330727,0
19330728,0
19330729,0
19330730,6
19330731,0
19330801,0
19330802,0
19330803,0
19330804,0
19330805,0
19330806,68
19330807,0
19330808,0
19330809,0
19330810,0
19330811,81
19330812,0
19330813,0
19330814,0
19330815,0
19330816,5
19330817,19
19330818,55
19330819,74
19330820,0
19330821,14
19330822,19
19330823,2
19330824,0
19330825,0
19330826,0
19330827,0
19330828,0
19330829,0
19330830,40
19330831,36
19330901,0
19330902,0
19330903,68
19330904,0
19330905,0
19330906,0
19330907,2
19330908,6
19330909,0
19330910,0
19330911,0
19330912,0
19330913,0
19330914,0
19330915,0
19330916,77
19330917,2
19330918,0
19330919,0
19330920,0
19330921,26
19330922,0
19330923,53
19330924,0
19330925,0
19330926,0
19330927,124
19330928,0
19330929,0
19330930,0
19331001,0
19331002,42
19331003,1
19331004,0
19331005,0
19331006,0
19331007,0
19331008,0
19331009,0
19331010,0
19331011,0
19331012,0
19331013,9
19331014,6
19331015,0
19331016,11
19331017,0
19331018,0
19331019,1
19331020,0
19331021,0
19331022,8
19331023,0
19331024,1
19331025,0
19331026,0
19331027,4
19331028,0
19331029,0
19331030,0
19331031,0
19331101,6
19331102,0
19331103,0
19331104,0
19331105,11
19331106,0
19331107,42
19331108,17
19331109,0
19331110,0
19331111,0
19331112,0
19331113,0
19331114,6
19331115,0
19331116,0
19331117,5
19331118,0
19331119,0
19331120,0
19331121,0
19331122,11
19331123,3
19331124,0
19331125,0
19331126,0
19331127,16
19331128,0
19331129,49
19331130,2
19331201,0
19331202,0
19331203,0
19331204,0
19331205,1
19331206,0
19331207,0
19331208,0
19331209,0
19331210,0
19331211,0
19331212,0
19331213,0
19331214,0
19331215,0
19331216,0
19331217,0
19331218,0
19331219,0
19331220,0
19331221,0
19331222,8
19331223,0
19331224,38
19331225,18
19331226,9
19331227,2
19331228,0
19331229,0
19331230,0
19331231,0
19340101,0
19340102,3
19340103,0
19340104,0
19340105,0
19340106,0
19340107,0
19340108,0
19340109,0
19340110,0
19340111,2
19340112,4
19340113,0
19340114,0
19340115,0
19340116,0
19340117,0
19340118,0
19340119,6
19340120,2
19340121,0
19340122,0
19340123,0
19340124,0
19340125,4
19340126,0
19340127,0
19340128,0
19340129,0
19340130,2
19340131,0
19340201,1
19340202,0
19340203,0
19340204,0
19340205,0
19340206,0
19340207,0
19340208,0
19340209,0
19340210,0
19340211,10
19340212,0
19340213,0
19340214,9
19340215,0
19340216,0
19340217,0
19340218,1
19340219,0
19340220,0
19340221,0
19340222,0
19340223,0
19340224,0
19340225,0
19340226,0
19340227,0
19340228,0
19340301,0
19340302,0
19340303,0
19340304,0
19340305,0
19340306,0
19340307,0
19340308,0
19340309,0
19340310,7
19340311,0
19340312,0
19340313,0
19340314,0
19340315,0
19340316,2
19340317,0
19340318,0
19340319,0
19340320,0
19340321,0
19340322,0
19340323,0
19340324,0
19340325,0
19340326,0
19340327,0
