Date,Precipitation,TMax,TMin
19360101,0,-353,-397
19360102,5,-269,-365
19360103,1,-216,-327
19360104,0,-225,-324
19360105,0,-256,-398
19360106,0,-214,-374
19360107,0,-214,-323
19360108,0,-256,-318
19360109,1,-216,-357
19360110,0,-337,-452
19360111,0,-432,-468
19360112,0,-458,-476
19360113,1,-218,-476
19360114,6,-181,-275
19360115,0,-206,-247
19360116,0,-238,-278
19360117,0,-266,-421
19360118,0,-413,-463
19360119,0,-454,-504
19360120,0,-495,-521
19360121,0,-505,-540
19360122,0,-488,-544
19360123,0,-457,-496
19360124,0,-457,-492
19360125,0,-394,-491
19360126,0,-336,-423
19360127,0,-375,-431
19360128,1,-391,-429
19360129,0,-391,-450
19360130,0,-413,-440
19360131,0,-395,-444
19360201,0,-395,-445
19360202,0,-391,-415
19360203,0,-404,-443
19360204,0,-414,-457
19360205,0,-424,-454
19360206,0,-414,-448
19360207,0,-365,-435
19360208,0,-365,-447
19360209,0,-421,-464
19360210,0,-326,-424
19360211,1,-279,-353
19360212,0,-286,-395
19360213,4,-141,-315
19360214,2,-133,-317
19360215,0,-299,-377
19360216,0,-189,-345
19360217,0,-119,-195
19360218,0,-114,-316
19360219,0,-231,-330
19360220,7,-185,-251
19360221,0,-224,-355
19360222,0,-186,-404
19360223,2,-156,-222
19360224,1,-171,-204
19360225,19,-186,-220
19360226,5,-207,-256
19360227,0,-238,-300
19360228,0,-256,-357
19360229,0,-268,-350
19360301,7,-246,-342
19360302,9,-231,-319
19360303,4,-178,-314
19360304,0,-69,-299
19360305,0,-57,-146
19360306,9,-109,-153
19360307,10,-113,-204
19360308,8,-117,-249
19360309,0,-170,-259
19360310,4,-205,-339
19360311,2,-285,-366
19360312,0,-314,-413
19360313,0,-292,-389
19360314,0,-197,-345
19360315,1,-146,-224
19360316,15,-149,-197
19360317,3,-119,-248
19360318,13,-123,-346
19360319,12,-230,-308
19360320,0,-191,-287
19360321,0,-189,-289
19360322,0,-195,-289
19360323,0,-177,-244
19360324,3,-182,-262
19360325,6,-228,-292
19360326,0,-81,-299
19360327,1,-48,-168
19360328,3,-114,-254
19360329,0,-172,-260
19360330,5,-113,-273
19360331,1,-75,-179
19360401,0,-117,-269
19360402,0,-97,-299
19360403,0,-89,-239
19360404,0,-114,-215
19360405,0,-103,-234
19360406,5,-33,-199
19360407,0,2,-132
19360408,2,13,-99
19360409,10,13,-32
19360410,1,-4,-143
19360411,0,-66,-131
19360412,0,-79,-162
19360413,0,-8,-111
19360414,0,30,-46
19360415,0,30,-60
19360416,0,-56,-170
19360417,1,-155,-195
19360418,1,-125,-229
19360419,0,-136,-206
19360420,0,-134,-263
19360421,0,-126,-219
19360422,0,-139,-249
19360423,0,-96,-243
19360424,0,-62,-211
19360425,0,27,-175
19360426,7,24,-52
19360427,14,4,-60
19360428,5,-57,-134
19360429,1,-108,-219
19360430,36,-33,-131
19360501,20,13,-44
19360502,4,-13,-166
19360503,0,-125,-243
19360504,0,-126,-255
19360505,0,-107,-239
19360506,0,-46,-221
19360507,3,-37,-80
19360508,4,-22,-85
19360509,0,-34,-98
19360510,3,-63,-134
19360511,0,-77,-134
19360512,0,-79,-157
19360513,0,-74,-154
19360514,0,-35,-161
19360515,0,21,-121
19360516,21,21,-54
19360517,0,14,-97
19360518,1,-37,-70
19360519,0,-36,-58
19360520,1,-47,-70
19360521,0,-43,-80
19360522,8,28,-98
19360523,5,9,-75
19360524,12,13,-82
19360525,4,-2,-104
19360526,0,19,-97
19360527,8,94,6
19360528,0,96,-20
19360529,0,7,-50
19360530,1,15,-32
19360531,0,28,-41
19360601,5,31,1
19360602,16,35,-7
19360603,1,8,-26
19360604,0,8,-47
19360605,65,11,-36
19360606,10,39,-34
19360607,0,68,11
19360608,0,100,34
19360609,0,88,26
19360610,6,74,13
19360611,21,38,6
19360612,10,38,6
19360613,12,27,-1
19360614,12,51,-6
19360615,0,67,13
19360616,0,120,52
19360617,0,99,13
19360618,0,63,16
19360619,3,51,6
19360620,101,89,24
19360621,97,73,33
19360622,10,58,16
19360623,21,66,26
19360624,10,46,-4
19360625,26,58,3
19360626,4,108,31
19360627,0,174,54
19360628,0,206,93
19360629,138,158,46
19360630,35,146,71
19360701,1,155,53
19360702,16,228,86
19360703,0,308,150
19360704,0,248,120
19360705,0,314,125
19360706,12,281,138
19360707,0,241,140
19360708,0,207,119
19360709,0,209,113
19360710,0,198,116
19360711,0,176,105
19360712,3,159,84
19360713,5,165,83
19360714,5,167,100
19360715,0,139,65
19360716,0,157,70
19360717,0,211,100
19360718,0,245,124
19360719,0,218,126
19360720,144,178,99
19360721,0,188,126
19360722,120,186,104
19360723,2,124,55
19360724,0,151,50
19360725,0,169,62
19360726,0,203,93
19360727,0,199,93
19360728,0,126,37
19360729,2,177,80
19360730,0,185,90
19360731,2,177,117
19360801,0,189,86
19360802,16,188,126
19360803,1,205,116
19360804,73,154,76
19360805,0,82,21
19360806,0,136,39
19360807,4,151,66
19360808,73,164,106
19360809,20,143,84
19360810,7,111,15
19360811,44,106,18
19360812,11,89,45
19360813,0,111,8
19360814,34,104,46
19360815,0,96,53
19360816,2,86,47
19360817,0,74,31
19360818,0,84,12
19360819,0,107,54
19360820,6,108,56
19360821,6,107,33
19360822,2,61,-1
19360823,0,79,19
19360824,0,111,18
19360825,0,133,-1
19360826,0,162,16
19360827,0,167,16
19360828,0,109,24
19360829,0,177,16
19360830,0,176,33
19360831,0,120,0
19360901,0,105,46
19360902,0,84,-12
19360903,0,91,1
19360904,0,106,-19
19360905,0,163,-2
19360906,1,171,67
19360907,14,166,94
19360908,0,193,37
19360909,0,199,37
19360910,0,181,31
19360911,0,181,6
19360912,0,189,85
19360913,19,139,56
19360914,0,99,11
19360915,0,115,18
19360916,56,114,39
19360917,3,78,34
19360918,10,64,31
19360919,10,64,21
19360920,2,81,-7
19360921,51,79,19
19360922,19,77,16
19360923,17,106,1
19360924,0,61,6
19360925,6,69,-11
19360926,0,89,13
19360927,28,39,4
19360928,32,41,-24
19360929,20,46,6
19360930,10,19,-4
19361001,25,6,-14
19361002,3,-9,-40
19361003,17,-16,-73
19361004,15,-12,-55
19361005,14,-22,-58
19361006,22,-22,-46
19361007,22,-35,-95
19361008,32,-43,-115
19361009,0,-71,-105
19361010,7,-53,-107
19361011,5,-49,-122
19361012,19,-96,-145
19361013,7,-83,-184
19361014,20,-34,-149
19361015,0,-34,-90
19361016,6,-69,-142
19361017,20,-24,-75
19361018,0,-35,-83
19361019,2,-60,-124
19361020,2,-39,-85
19361021,42,-34,-169
19361022,2,-130,-209
19361023,0,-133,-194
19361024,0,-46,-199
19361025,5,-3,-80
19361026,26,-25,-161
19361027,67,-39,-144
19361028,9,-144,-171
19361029,3,-158,-234
19361030,0,-185,-285
19361031,0,-263,-299
19361101,0,-294,-322
19361102,2,-299,-361
19361103,0,-305,-384
19361104,0,-317,-383
19361105,0,-259,-340
19361106,4,-171,-276
19361107,0,-186,-318
19361108,0,-303,-345
19361109,0,-309,-375
19361110,0,-335,-350
19361111,0,-330,-358
19361112,0,-284,-375
19361113,0,-321,-395
19361114,0,-311,-363
19361115,0,-283,-338
19361116,0,-334,-380
19361117,0,-324,-371
19361118,0,-355,-365
19361119,0,-333,-360
19361120,0,-333,-419
19361121,0,-134,-375
19361122,0,-100,-144
19361123,0,-61,-108
19361124,7,-62,-120
19361125,30,-86,-120
19361126,17,-102,-177
19361127,2,-152,-257
19361128,6,-153,-253
19361129,19,-117,-160
19361130,48,-74,-145
19361201,1,-63,-133
19361202,5,-70,-150
19361203,14,-55,-156
19361204,2,-39,-115
19361205,28,-36,-101
19361206,43,-71,-145
19361207,0,-139,-235
19361208,0,-194,-335
19361209,12,-113,-271
19361210,0,-134,-160
19361211,0,-152,-187
19361212,5,-163,-215
19361213,0,-206,-278
19361214,0,-261,-367
19361215,0,-252,-370
19361216,37,-114,-279
19361217,2,-87,-195
19361218,5,-37,-94
19361219,20,-7,-86
19361220,11,-74,-111
19361221,22,-66,-218
19361222,8,-217,-300
19361223,2,-242,-315
19361224,0,-313,-380
19361225,0,-331,-360
19361226,1,-283,-348
19361227,8,-284,-340
19361228,0,-333,-367
19361229,18,-297,-360
19361230,0,-317,-443
19361231,0,-375,-448
19370101,0,-413,-447
19370102,0,-331,-431
19370103,0,-306,-375
19370104,0,-306,-356
19370105,0,-332,-429
19370106,0,-394,-432
19370107,0,-384,-428
19370108,19,-48,-384
19370109,13,-54,-85
19370110,1,-64,-104
19370111,6,-57,-104
19370112,10,-57,-116
19370113,15,-84,-169
19370114,13,-105,-181
19370115,13,-51,-106
19370116,4,-31,-84
19370117,0,-68,-184
19370118,5,-57,-121
19370119,2,-42,-75
19370120,15,-44,-97
19370121,14,-94,-143
19370122,2,-103,-174
19370123,5,-137,-174
19370124,5,-99,-172
19370125,13,-116,-199
19370126,4,-137,-162
19370127,5,-147,-164
19370128,0,-148,-192
19370129,1,-173,-207
19370130,1,-168,-212
19370131,7,-147,-187
19370201,14,-127,-207
19370202,0,-134,-269
19370203,0,-261,-302
19370204,0,-215,-370
19370205,0,-146,-219
19370206,0,-189,-275
19370207,4,-217,-285
19370208,3,-89,-219
19370209,0,-67,-150
19370210,0,-89,-183
19370211,3,-92,-135
19370212,0,-67,-143
19370213,0,-54,-197
19370214,0,-189,-263
19370215,8,-232,-325
19370216,26,-92,-265
19370217,43,-89,-130
19370218,16,-88,-133
19370219,7,-102,-132
19370220,52,-102,-310
19370221,33,-136,-335
19370222,9,-171,-383
19370223,0,-339,-390
19370224,0,-343,-395
19370225,0,-365,-414
19370226,0,-386,-429
19370227,0,-403,-438
19370228,11,-299,-433
19370301,14,-245,-305
19370302,5,-241,-290
19370303,4,-249,-300
19370304,0,-285,-340
19370305,0,-281,-340
19370306,0,-283,-326
19370307,0,-316,-350
19370308,0,-311,-375
19370309,0,-342,-404
19370310,0,-345,-411
19370311,0,-333,-433
19370312,0,-333,-408
19370313,0,-334,-419
19370314,0,-323,-380
19370315,0,-301,-414
19370316,0,-293,-399
19370317,0,-302,-399
19370318,0,-281,-404
19370319,0,-202,-330
19370320,1,-212,-358
19370321,2,-247,-387
19370322,17,-172,-348
19370323,0,-347,-429
19370324,0,-285,-371
19370325,15,-229,-303
19370326,2,-298,-382
19370327,0,-265,-402
19370328,0,-276,-371
19370329,0,-234,-330
19370330,5,-249,-285
19370331,0,-223,-293
19370401,1,-172,-295
19370402,5,-47,-174
19370403,1,-82,-182
19370404,4,-140,-211
19370405,1,-89,-144
19370406,2,-76,-99
19370407,0,-63,-154
19370408,0,-52,-114
19370409,1,-112,-161
19370410,6,-159,-184
19370411,2,-154,-217
19370412,10,-169,-239
19370413,1,-202,-285
19370414,1,-182,-269
19370415,4,-131,-239
19370416,4,-149,-215
19370417,10,-186,-249
19370418,0,-161,-259
19370419,0,-158,-314
19370420,0,-199,-297
19370421,6,-147,-267
19370422,1,-137,-224
19370423,3,-142,-202
19370424,4,-137,-212
19370425,12,-143,-186
19370426,0,-97,-234
19370427,0,-34,-205
19370428,0,9,-151
19370429,0,46,-125
19370430,0,66,-25
19370501,0,44,-30
19370502,6,30,-64
19370503,29,14,-152
19370504,4,-52,-138
19370505,0,-32,-158
19370506,2,-31,-100
19370507,1,-37,-95
19370508,6,-57,-85
19370509,0,-29,-104
19370510,1,11,-113
19370511,0,18,-52
19370512,0,-7,-69
19370513,0,1,-132
19370514,0,71,-69
19370515,11,66,-4
19370516,2,1,-59
19370517,1,-13,-45
19370518,7,-26,-49
19370519,4,-44,-84
19370520,0,-36,-81
19370521,2,-2,-64
19370522,6,-37,-99
19370523,0,-34,-117
19370524,16,-19,-92
19370525,2,-78,-116
19370526,10,-54,-122
19370527,54,-16,-64
19370528,11,-19,-59
19370529,5,-13,-42
19370530,87,31,-54
19370531,0,14,-34
19370601,2,49,-74
19370602,19,54,11
19370603,0,104,41
19370604,0,145,38
19370605,4,146,66
19370606,3,81,0
19370607,3,96,21
19370608,19,46,18
19370609,4,23,-14
19370610,0,45,1
19370611,0,58,1
19370612,0,90,18
19370613,19,104,39
19370614,2,71,18
19370615,12,63,36
19370616,3,76,19
19370617,10,61,11
19370618,2,63,10
19370619,0,76,31
19370620,7,118,51
19370621,36,54,6
19370622,4,61,3
19370623,30,56,1
19370624,3,69,16
19370625,0,126,26
19370626,0,185,54
19370627,0,198,81
19370628,0,204,96
19370629,4,214,101
19370630,41,141,76
19370701,3,89,20
19370702,10,101,38
19370703,0,228,65
19370704,0,224,126
19370705,0,207,121
19370706,0,219,106
19370707,0,209,100
19370708,0,146,25
19370709,54,126,35
19370710,0,88,40
19370711,7,69,25
19370712,9,99,21
19370713,0,124,47
19370714,0,164,52
19370715,0,174,80
19370716,0,159,55
19370717,0,164,60
19370718,0,168,74
19370719,4,158,66
19370720,2,217,96
19370721,32,227,150
19370722,0,235,137
19370723,4,219,112
19370724,0,257,131
19370725,37,242,145
19370726,0,254,130
19370727,3,211,135
19370728,0,178,124
19370729,0,161,88
19370730,0,177,75
19370731,13,199,110
19370801,0,176,106
19370802,73,204,64
19370803,448,161,96
19370804,77,145,76
19370805,6,81,37
19370806,66,86,38
19370807,0,124,50
19370808,0,118,41
19370809,0,76,16
19370810,0,125,41
19370811,0,139,31
19370812,10,183,63
19370813,6,147,76
19370814,3,115,47
19370815,0,80,20
19370816,0,75,21
19370817,19,46,7
19370818,16,20,-12
19370819,68,20,0
19370820,83,12,-4
19370821,39,17,3
19370822,20,53,1
19370823,9,54,21
19370824,3,68,31
19370825,1,76,-14
19370826,14,49,19
19370827,9,63,2
19370828,11,63,20
19370829,9,72,18
19370830,7,56,7
19370831,8,80,31
19370901,7,66,-4
19370902,81,71,24
19370903,3,87,16
19370904,12,146,29
19370905,0,107,11
19370906,0,81,26
19370907,0,75,-30
19370908,0,111,3
19370909,0,96,-9
19370910,0,113,46
19370911,0,133,7
19370912,0,130,32
19370913,0,110,-4
19370914,0,127,14
19370915,0,89,4
19370916,44,62,19
19370917,3,32,-11
19370918,19,11,-25
19370919,41,42,6
19370920,40,47,1
19370921,7,6,-41
19370922,22,-12,-71
19370923,0,44,-82
19370924,38,35,1
19370925,64,23,-14
19370926,0,24,-33
19370927,1,31,-85
19370928,4,26,-24
19370929,5,-4,-54
19370930,0,-11,-55
19371001,94,11,-31
19371002,25,9,-78
19371003,3,3,-47
19371004,39,24,-45
19371005,7,4,-66
19371006,15,-54,-107
19371007,11,-45,-68
19371008,9,-36,-70
19371009,41,-36,-66
19371010,8,-45,-109
19371011,1,-99,-235
19371012,0,-133,-235
19371013,0,-116,-204
19371014,6,-1,-137
19371015,27,45,-35
19371016,2,-23,-95
19371017,9,-62,-142
19371018,30,8,-164
19371019,25,-4,-109
19371020,0,-93,-169
19371021,0,-126,-162
19371022,1,-111,-159
19371023,18,-100,-149
19371024,28,-84,-129
19371025,8,-104,-230
19371026,19,-128,-200
19371027,25,-114,-255
19371028,0,-235,-293
19371029,0,-293,-340
19371030,0,-331,-367
19371031,0,-355,-444
19371101,11,-249,-374
19371102,2,-249,-299
19371103,0,-291,-339
19371104,14,-89,-334
19371105,1,-24,-95
19371106,22,-24,-103
19371107,0,-100,-248
19371108,12,-164,-214
19371109,2,-151,-229
19371110,0,-129,-267
19371111,0,-266,-364
19371112,0,-346,-374
19371113,0,-292,-379
19371114,6,-214,-373
19371115,11,-91,-314
19371116,4,-59,-95
19371117,0,-59,-85
19371118,4,-59,-174
19371119,1,-19,-180
19371120,0,-50,-184
19371121,1,-169,-213
19371122,47,-99,-209
19371123,12,-109,-252
19371124,2,-227,-403
19371125,5,-313,-429
19371126,3,-247,-385
19371127,2,-229,-349
19371128,0,-237,-319
19371129,0,-202,-249
19371130,11,-203,-333
19371201,3,-146,-235
19371202,0,-117,-174
19371203,0,-131,-221
19371204,0,-217,-339
19371205,0,-283,-344
19371206,0,-264,-343
19371207,0,-323,-344
19371208,0,-339,-398
19371209,3,-291,-369
19371210,0,-273,-319
19371211,0,-289,-349
19371212,8,-206,-294
19371213,4,-219,-277
19371214,0,-269,-376
19371215,0,-372,-422
19371216,0,-370,-418
19371217,3,-279,-371
19371218,1,-201,-283
19371219,0,-151,-281
19371220,0,-89,-294
19371221,0,-237,-369
19371222,0,-353,-408
19371223,12,-229,-394
19371224,33,-189,-239
19371225,36,-146,-196
19371226,3,-161,-259
19371227,0,-259,-389
19371228,0,-343,-418
19371229,0,-341,-415
19371230,0,-359,-442
19371231,0,-429,-457
19380101,0,-425,-457
19380102,0,-383,-434
19380103,5,-229,-403
19380104,0,-184,-238
19380105,0,-193,-234
19380106,0,-194,-360
19380107,0,-252,-324
19380108,0,-274,-374
19380109,0,-233,-394
19380110,2,-179,-294
19380111,10,-179,-281
19380112,10,-147,-214
19380113,7,-134,-223
19380114,5,-171,-224
19380115,4,-189,-279
19380116,5,-145,-271
19380117,0,-109,-149
19380118,2,-79,-138
19380119,0,-129,-210
19380120,0,-209,-303
19380121,0,-129,-354
19380122,0,-269,-375
19380123,2,-139,-387
19380124,0,-101,-224
19380125,0,-123,-204
19380126,1,-173,-224
19380127,34,-143,-199
19380128,9,-139,-299
19380129,0,-296,-369
19380130,0,-355,-398
19380131,5,-239,-367
19380201,2,-252,-301
19380202,2,-197,-354
19380203,21,-154,-209
19380204,10,-151,-199
19380205,16,-144,-204
19380206,0,-165,-274
19380207,17,-128,-170
19380208,18,-141,-161
19380209,0,-156,-245
19380210,0,-234,-334
19380211,0,-313,-366
19380212,7,-321,-418
19380213,0,-274,-456
19380214,0,-279,-373
19380215,0,-364,-440
19380216,0,-321,-398
19380217,0,-294,-394
19380218,0,-374,-464
19380219,0,-463,-539
19380220,0,-470,-539
19380221,1,-253,-486
19380222,0,-177,-387
19380223,1,-171,-234
19380224,2,-217,-305
19380225,3,-226,-334
19380226,0,-307,-397
19380227,0,-327,-369
19380228,0,-349,-408
19380301,0,-299,-355
19380302,0,-293,-357
19380303,0,-249,-359
19380304,0,-249,-347
19380305,0,-273,-398
19380306,0,-261,-369
19380307,0,-266,-393
19380308,0,-172,-322
19380309,3,-127,-193
19380310,0,-69,-164
19380311,4,-41,-137
19380312,10,-61,-159
19380313,7,-53,-145
19380314,0,-77,-179
19380315,3,-33,-139
19380316,0,-81,-294
19380317,0,-203,-348
19380318,0,-239,-299
19380319,2,-250,-330
19380320,0,-242,-400
19380321,2,-259,-297
19380322,0,-267,-365
19380323,0,-194,-384
19380324,15,-78,-231
19380325,0,-61,-189
19380326,1,-53,-118
19380327,1,-3,-122
19380328,2,-116,-171
19380329,2,15,-143
19380330,0,-34,-184
19380331,11,-61,-177
19380401,0,-174,-265
19380402,0,-179,-329
19380403,0,-120,-188
19380404,1,-59,-199
19380405,0,-57,-164
19380406,0,16,-126
19380407,0,12,-71
19380408,0,-3,-98
19380409,2,-10,-87
19380410,7,29,-84
19380411,0,-10,-118
19380412,3,-24,-99
19380413,0,-79,-114
19380414,0,-14,-146
19380415,12,1,-132
19380416,17,-106,-151
19380417,0,-102,-264
19380418,3,-104,-230
19380419,3,-37,-215
19380420,44,31,-64
19380421,2,21,-46
19380422,16,-35,-114
19380423,2,-111,-150
19380424,0,-126,-167
19380425,0,-117,-249
19380426,0,-34,-179
19380427,0,-11,-85
19380428,0,-21,-104
19380429,0,-64,-144
19380430,0,-99,-204
19380501,1,-106,-180
19380502,0,-74,-162
19380503,0,-60,-150
19380504,0,-41,-189
19380505,0,-31,-170
19380506,0,18,-188
19380507,10,14,-46
19380508,0,-2,-55
19380509,0,-26,-95
19380510,1,-39,-67
19380511,0,-53,-94
19380512,2,-70,-99
19380513,1,-65,-98
19380514,0,28,-120
19380515,32,82,14
19380516,0,101,-13
19380517,0,99,29
19380518,0,81,10
19380519,0,35,1
19380520,0,29,-16
19380521,0,-11,-61
19380522,0,9,-69
19380523,0,-1,-75
19380524,0,-24,-104
19380525,0,-56,-99
19380526,0,-37,-85
19380527,11,-1,-57
19380528,66,5,-24
19380529,39,43,-5
19380530,0,32,-24
19380531,5,18,-32
19380601,0,14,-44
19380602,0,1,-46
19380603,28,4,-25
19380604,0,54,-30
19380605,0,55,-4
19380606,0,81,-18
19380607,0,82,10
19380608,0,71,0
19380609,0,68,2
19380610,0,81,18
19380611,0,98,17
19380612,0,194,44
19380613,0,248,95
19380614,0,200,92
19380615,0,201,54
19380616,0,192,57
19380617,0,189,25
19380618,0,210,97
19380619,24,118,36
19380620,0,152,73
19380621,0,155,52
19380622,0,175,71
19380623,0,253,115
19380624,0,246,105
19380625,13,134,53
19380626,0,98,39
19380627,0,101,43
19380628,0,158,70
19380629,7,185,86
19380630,0,223,91
19380701,0,264,131
19380702,0,291,164
19380703,0,293,175
19380704,0,283,150
19380705,21,214,73
19380706,0,157,75
19380707,0,192,100
19380708,0,185,105
19380709,4,152,69
19380710,0,159,54
19380711,14,222,80
19380712,30,169,75
19380713,130,89,24
19380714,5,114,54
19380715,0,141,40
19380716,20,116,80
19380717,16,158,65
19380718,2,155,105
19380719,8,131,76
19380720,3,126,50
19380721,4,133,60
19380722,114,142,42
19380723,10,72,36
19380724,6,63,25
19380725,10,49,12
19380726,0,87,27
19380727,20,98,46
19380728,19,89,40
19380729,21,78,38
19380730,0,92,43
19380731,0,113,48
19380801,3,125,35
19380802,0,209,55
19380803,78,166,99
19380804,0,133,79
19380805,51,125,78
