1979     2021
1979     0.47     0.26    -0.08     0.20     0.27    -0.15    -0.14     0.44     0.38     0.24     0.52     0.65
1980     0.35     0.19     0.41     0.59     0.55     0.62     0.62     0.15     0.20     0.09    -0.03    -0.06
1981    -0.33    -0.24     0.33     0.41    -0.27    -0.60    -0.51    -0.31    -0.01    -0.10    -0.22    -0.16
1982    -0.38    -0.47    -0.28    -0.34    -0.03     0.78     1.79     2.02     1.81     1.93     2.28     2.48
1983     2.57     2.74     2.68     2.79     2.89     2.02     0.75    -0.11    -0.41    -0.43    -0.43    -0.43
1984    -0.50    -0.52    -0.11     0.09    -0.47    -0.72    -0.31    -0.15    -0.11    -0.15    -0.58    -0.31
1985    -0.25    -0.58    -0.60    -0.76    -1.22    -0.57    -0.02    -0.37    -0.44    -0.04     0.00    -0.34
1986    -0.36    -0.30    -0.39    -0.52    -0.18     0.12     0.56     1.05     1.31     0.57     0.65     1.06
1987     0.98     1.08     1.47     1.66     1.91     2.02     1.92     1.48     1.23     1.13     0.85     0.75
1988     0.59     0.31     0.19    -0.01    -0.36    -1.19    -1.77    -1.79    -1.77    -1.54    -1.61    -1.49
1989    -1.09    -1.06    -1.20    -1.09    -1.04    -1.02    -1.12    -0.73    -0.61    -0.56    -0.33    -0.02
1990     0.12     0.43     0.61     0.17     0.03     0.04     0.17     0.06     0.21    -0.06     0.12     0.28
1991     0.16     0.08     0.21     0.21     0.35     0.89     0.88     0.42     0.62     1.09     1.17     1.29
1992     1.70     1.59     1.72     1.98     1.69     1.58     0.76     0.08     0.50     0.81     0.73     0.78
1993     0.83     0.93     0.78     0.98     1.48     1.50     0.91     0.62     0.64     0.95     0.70     0.26
1994     0.02    -0.17    -0.21     0.03     0.00     0.25     0.88     0.84     1.06     1.47     0.99     0.87
1995     0.77     0.48     0.14     0.18     0.16    -0.00    -0.25    -0.65    -0.86    -0.65    -0.67    -0.82
1996    -0.83    -0.81    -0.64    -0.69    -0.83    -0.90    -0.76    -0.60    -0.26    -0.31    -0.30    -0.45
1997    -0.66    -0.72    -0.29     0.17     0.68     2.25     2.11     2.20     2.17     2.01     2.06     2.03
1998     2.23     2.43     2.27     2.55     2.26     0.37    -1.42    -1.74    -1.31    -1.21    -1.30    -1.25
1999    -1.26    -1.18    -1.11    -1.17    -1.36    -1.26    -1.19    -1.07    -1.17    -1.31    -1.33    -1.43
2000    -1.26    -1.27    -1.36    -0.93    -0.97    -1.14    -0.58    -0.08    -0.36    -0.55    -0.91    -0.80
2001    -0.82    -0.87    -0.79    -0.61    -0.58    -0.71    -0.02     0.34    -0.07    -0.25    -0.32     0.02
2002     0.07    -0.26    -0.20    -0.36    -0.10     0.40     0.42     0.97     0.84     0.79     0.76     0.86
2003     0.80     0.62     0.53    -0.08    -0.57    -0.07     0.01     0.01     0.14     0.26     0.29     0.10
2004     0.16    -0.04    -0.44    -0.23    -0.44    -0.34     0.43     0.74     0.54     0.34     0.51     0.51
2005     0.08     0.61     0.82     0.13     0.18     0.20    -0.02    -0.01    -0.05    -0.71    -0.75    -0.73
2006    -0.68    -0.50    -0.61    -0.84    -0.43    -0.23     0.11     0.56     0.63     0.68     0.90     0.59
2007     0.62     0.39    -0.22    -0.36    -0.44    -0.86    -0.77    -0.93    -1.10    -1.14    -1.13    -1.22
2008    -1.08    -1.27    -1.54    -1.13    -0.98    -0.86    -0.87    -1.08    -1.07    -1.12    -1.05    -1.05
2009    -1.01    -0.85    -0.94    -0.81    -0.72    -0.06     0.49     0.52     0.39     0.56     1.05     0.96
2010     0.93     1.28     1.31     0.49    -0.17    -1.33    -2.43    -2.40    -2.28    -2.18    -2.04    -1.91
2011    -1.83    -1.63    -1.79    -1.74    -1.29    -1.08    -0.86    -0.88    -1.16    -1.37    -1.21    -1.24
2012    -1.08    -0.67    -0.59    -0.43    -0.35    -0.28     0.30    -0.06    -0.32    -0.22    -0.07    -0.07
2013    -0.05    -0.07    -0.14    -0.37    -0.71    -1.18    -0.85    -0.50    -0.38    -0.16    -0.18    -0.35
2014    -0.51    -0.43    -0.08    -0.16    -0.18    -0.01     0.32     0.16    -0.15     0.07     0.34     0.34
2015     0.23     0.05     0.13     0.35     0.96     1.85     1.73     1.92     2.21     2.11     1.88     1.90
2016     1.94     1.81     1.31     1.33     1.26     0.36    -0.51    -0.28    -0.34    -0.60    -0.51    -0.34
2017    -0.41    -0.41    -0.58    -0.21     0.17    -0.29    -0.70    -0.77    -0.80    -0.63    -0.63    -0.73
2018    -0.77    -0.70    -0.79    -1.29    -0.91    -0.51    -0.17     0.36     0.52     0.41     0.26     0.13
2019     0.08     0.52     0.77     0.33     0.26     0.35     0.24     0.30     0.15     0.27     0.45     0.41
2020     0.29     0.30     0.15    -0.11    -0.24    -0.73    -1.00    -0.99    -1.19    -1.20    -1.15    -1.16
2021    -1.20    -0.95    -0.79    -0.96    -1.06    -1.11    -1.53    -1.34    -1.41    -1.47    -1.40  -999.00
  -999.00
Multivariate ENSO Index Version 2 (MEI.v2)
https://www.psl.noaa.gov/enso/mei
Row values are 2 month seasons (YEAR DJ JF FM MA AM MJ JJ JA AS SO ON ND)
