# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Ed Dlugokencky (303 497 6228; ed.dlugokencky@noaa.gov)
# 
# File Creation: Thu May  5 04:06:02 2022
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, and additional information necessary for other
# scientists to repeat the work and to run modified versions.
# Model availability includes collaborative support for new
# users of the models.
# --------------------------------------------------------------------
# 
# 
# See www.esrl.noaa.gov/gmd/ccgg/trends_n2o/ for additional details.
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month. 
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# N2O expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
# 
# year   month       decimal       average   average_unc         trend     trend_unc
  2001       1      2001.042         316.3           0.2         316.0           0.1
  2001       2      2001.125         316.3           0.2         316.1           0.1
  2001       3      2001.208         316.2           0.2         316.2           0.1
  2001       4      2001.292         316.1           0.1         316.2           0.1
  2001       5      2001.375         316.1           0.1         316.3           0.1
  2001       6      2001.458         316.2           0.1         316.3           0.1
  2001       7      2001.542         316.2           0.1         316.4           0.1
  2001       8      2001.625         316.3           0.1         316.5           0.1
  2001       9      2001.708         316.4           0.1         316.5           0.1
  2001      10      2001.792         316.6           0.1         316.6           0.1
  2001      11      2001.875         316.8           0.1         316.6           0.1
  2001      12      2001.958         316.9           0.2         316.7           0.1
  2002       1      2002.042         316.9           0.2         316.7           0.1
  2002       2      2002.125         317.0           0.2         316.8           0.1
  2002       3      2002.208         317.0           0.2         316.8           0.1
  2002       4      2002.292         316.9           0.2         316.8           0.1
  2002       5      2002.375         316.8           0.1         316.9           0.1
  2002       6      2002.458         316.8           0.1         316.9           0.1
  2002       7      2002.542         316.8           0.1         316.9           0.1
  2002       8      2002.625         316.8           0.1         317.0           0.1
  2002       9      2002.708         316.9           0.1         317.0           0.1
  2002      10      2002.792         317.0           0.1         317.1           0.1
  2002      11      2002.875         317.1           0.1         317.1           0.1
  2002      12      2002.958         317.2           0.1         317.2           0.1
  2003       1      2003.042         317.3           0.1         317.2           0.1
  2003       2      2003.125         317.3           0.1         317.3           0.1
  2003       3      2003.208         317.4           0.1         317.4           0.1
  2003       4      2003.292         317.5           0.1         317.4           0.1
  2003       5      2003.375         317.5           0.1         317.5           0.1
  2003       6      2003.458         317.5           0.1         317.6           0.1
  2003       7      2003.542         317.6           0.1         317.7           0.1
  2003       8      2003.625         317.6           0.1         317.7           0.1
  2003       9      2003.708         317.8           0.1         317.8           0.1
  2003      10      2003.792         317.9           0.1         317.9           0.1
  2003      11      2003.875         318.0           0.1         317.9           0.1
  2003      12      2003.958         318.1           0.1         318.0           0.1
  2004       1      2004.042         318.2           0.1         318.0           0.1
  2004       2      2004.125         318.2           0.1         318.1           0.1
  2004       3      2004.208         318.2           0.1         318.1           0.1
  2004       4      2004.292         318.1           0.1         318.2           0.1
