# Source: NIST/ITL StRD Dataset Pontius (load cell calibration).
# https://www.itl.nist.gov/div898/strd/lls/data/LINKS/DATA/Pontius.dat
# https://www.itl.nist.gov/div898/strd/lls/data/Pontius.shtml
# Certified quadratic fit (y = B0 + B1*x + B2*x^2): B0 = 0.673565789473684E-03,
# B1 = 0.732059160401003E-06, B2 = -0.316081871345029E-14.
# The NIST data file is ordered as response y, predictor x; this fixture is x,y.
x,y
150000,.11019
300000,.21956
450000,.32949
600000,.43899
750000,.54803
900000,.65694
1050000,.76562
1200000,.87487
1350000,.98292
1500000,1.09146
1650000,1.20001
1800000,1.30822
1950000,1.41599
2100000,1.52399
2250000,1.63194
2400000,1.73947
2550000,1.84646
2700000,1.95392
2850000,2.06128
3000000,2.16844
150000,.11052
300000,.22018
450000,.32939
600000,.43886
750000,.54798
900000,.65739
1050000,.76596
1200000,.87474
1350000,.98300
1500000,1.09150
1650000,1.20004
1800000,1.30818
1950000,1.41613
2100000,1.52408
2250000,1.63159
2400000,1.73965
2550000,1.84696
2700000,1.95445
2850000,2.06177
3000000,2.16829
