# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
# 
# 
# 
# Contact:  Xin Lan (xin.lan@noaa.gov)
# 
# File Creation: Sun Jan  5 04:06:08 2025
# 
# 
# --------------------------------------------------------------------
# 
# 
# See gml.noaa.gov/ccgg/trends/ for additional details.
# 
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month. 
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# N2O expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
# 

# year   month       decimal       average   average_unc         trend     trend_unc
  2001       1      2001.042        316.30          0.15        316.03          0.15
  2001       2      2001.125        316.31          0.17        316.09          0.15
  2001       3      2001.208        316.21          0.16        316.15          0.14
  2001       4      2001.292        316.12          0.14        316.21          0.14
  2001       5      2001.375        316.10          0.14        316.28          0.14
  2001       6      2001.458        316.16          0.14        316.34          0.14
  2001       7      2001.542        316.23          0.14        316.41          0.13
  2001       8      2001.625        316.30          0.14        316.47          0.13
  2001       9      2001.708        316.41          0.15        316.53          0.14
  2001      10      2001.792        316.59          0.15        316.58          0.14
  2001      11      2001.875        316.76          0.16        316.64          0.14
  2001      12      2001.958        316.87          0.17        316.68          0.14
  2002       1      2002.042        316.93          0.18        316.73          0.14
  2002       2      2002.125        316.97          0.17        316.77          0.15
  2002       3      2002.208        316.96          0.17        316.81          0.15
  2002       4      2002.292        316.90          0.16        316.85          0.15
  2002       5      2002.375        316.85          0.16        316.88          0.15
  2002       6      2002.458        316.83          0.15        316.92          0.14
  2002       7      2002.542        316.82          0.15        316.95          0.14
  2002       8      2002.625        316.82          0.14        316.99          0.14
  2002       9      2002.708        316.87          0.14        317.03          0.14
  2002      10      2002.792        316.99          0.14        317.08          0.14
  2002      11      2002.875        317.13          0.15        317.13          0.14
  2002      12      2002.958        317.24          0.15        317.18          0.14
  2003       1      2003.042        317.30          0.14        317.24          0.14
  2003       2      2003.125        317.34          0.14        317.30          0.14
  2003       3      2003.208        317.41          0.14        317.37          0.14
  2003       4      2003.292        317.47          0.14        317.44          0.13
  2003       5      2003.375        317.51          0.14        317.51          0.13
  2003       6      2003.458        317.53          0.14        317.58          0.13
  2003       7      2003.542        317.57          0.14        317.65          0.13
  2003       8      2003.625        317.63          0.14        317.72          0.13
  2003       9      2003.708        317.77          0.14        317.79          0.13
  2003      10      2003.792        317.93          0.13        317.86          0.12
  2003      11      2003.875        318.04          0.13        317.92          0.12
  2003      12      2003.958        318.11          0.13        317.98          0.12
