HOT_surface_CO2.txt																					
Hawaii Ocean Time-series surface CO2 system data product																					
Created 5 October 2009 by J.E. Dore																					
Last updated 11 December 2023 by J.E. Dore																					
"See HOT_surface_CO2_readme.pdf for explanatory material, metadata, and notes (https://hahana.soest.hawaii.edu/hot/hotco2/hotco2.html)"																					
"When using this data product please cite as adapted from: Dore, J.E., R. Lukas, D.W. Sadler, M.J. Church, and D.M. Karl.  2009.  Physical and biogeochemical modulation of ocean acidification in the central North Pacific.  Proc Natl Acad Sci USA 106:12235-12240."																					
Please direct questions or comments regarding this data product to John Dore: jdore@montana.edu																					
																					
cruise	days	date	temp	sal	phos	sil	DIC	TA	nDIC	nTA	pHmeas_25C	pHmeas_insitu	pHcalc_25C	pHcalc_insitu	pCO2calc_insitu	pCO2calc_20C	aragsatcalc_insitu	calcsatcalc_insitu	freeCO2_insitu	carbonate_insitu	notes
1	30	31-Oct-88	26.283	35.186	0.08	0.71	1963.91	2319.5	1953.5	2307.2	-999	-999	8.1292	8.1097	330.9	256.3	3.98	6.02	9.06	250.2	abc
2	62	2-Dec-88	25.659	34.984	0.09	0.99	1958.94	2304.9	1959.8	2306	-999	-999	8.1193	8.1092	330.6	262.6	3.87	5.86	9.2	243.5	bc
3	99	8-Jan-89	24.61	35.028	0.07	0.93	1963.77	2305	1962.2	2303.2	-999	-999	8.1113	8.1168	324.3	268.7	3.8	5.77	9.27	240.1	c
4	148	26-Feb-89	23.479	34.883	0.09	0.88	1957.8	2295.5	1964.4	2303.2	-999	-999	8.1091	8.1316	310.9	269.7	3.74	5.69	9.15	237.2	cd
5	177	27-Mar-89	24.278	34.735	0.12	2.01	1946.33	2283	1961.2	2300.4	-999	-999	8.1113	8.1218	317.7	266.8	3.74	5.69	9.17	236.4	ac
6	229	18-May-89	23.87	35.019	0.09	1.42	1972.9	2306.7	1971.8	2305.4	-999	-999	8.0993	8.1158	326.2	278.6	3.71	5.64	9.5	235.1	bc
7	266	24-Jun-89	25.755	34.6	0.14	0.92	1939	2275	1961.4	2301.3	-999	-999	8.1134	8.1018	334.3	264.6	3.77	5.71	9.3	236.3	ac
8	301	29-Jul-89	25.358	34.949	0.1	1.49	1965.65	2301.8	1968.5	2305.2	-999	-999	8.1047	8.0991	340.4	273.8	3.76	5.7	9.55	236.9	bc
9	327	24-Aug-89	26.202	34.675	0.11	1.75	1949	2285.4	1967.3	2306.8	-999	-999	8.1113	8.093	343.8	267.3	3.79	5.72	9.46	237	bc
10	356	22-Sep-89	26.33	34.775	0.07	0.9	1944.9	2287.1	1957.5	2301.9	-999	-999	8.1191	8.099	337.8	261.2	3.85	5.81	9.26	240.8	bc
11	382	18-Oct-89	26.136	34.892	0.06	1.15	1953.05	2286	1959.1	2293.1	-999	-999	8.103	8.0858	350.5	273.3	3.74	5.65	9.65	234.6	c
12	422	27-Nov-89	25.142	35.013	0.08	1.14	1960.2	2301.8	1959.5	2300.9	-999	-999	8.1126	8.1101	329.7	267.4	3.81	5.78	9.3	240.3	bc
13	461	5-Jan-90	23.982	35.1	0.07	1.38	1965.9	2313	1960.3	2306.4	-999	-999	8.1183	8.1332	310.8	264.1	3.84	5.85	9.02	243.9	cef
