Year,CFC-12,CFC-11,CH3Cl,CH3Br ,CCl4,CH3CCl3,halons,CFC-113,HCFCs,WMO Minor,SUM* (ppt),EESC SUM (ppt; new),ODGI(old) Mid Latitude,ODGI(new) Mid-Lat
1992,230,375,242,326,241,271,140,69,13,39,1946,1795,98.8,81.9
1993,234,377,242,326,241,266,150,71,14,41,1963,1847,99.7,88.5
1994,237,378,242,326,239,250,161,72,16,42,1963,1889,100.0,93.9
1995,239,377,246,326,237,225,171,73,18,43,1955,1918,98.4,97.6
1996,242,375,242,327,235,200,177,73,20,44,1934,1933,97.4,99.6
1997,245,373,238,326,233,172,184,73,22,45,1909,1936,95.5,100.0
1998,246,371,244,333,231,145,190,72,24,45,1901,1929,95.3,99.1
1999,248,369,248,333,229,121,196,72,26,46,1887,1919,92.7,97.8
2000,249,367,245,320,226,101,201,71,28,46,1853,1908,89.3,96.4
2001,249,364,240,305,223,84,204,71,30,46,1816,1891,85.5,94.3
2002,250,362,238,296,221,70,207,71,32,46,1790,1867,83.5,91.2
2003,250,359,239,294,218,58,208,70,33,45,1775,1841,81.9,87.7
2004,250,356,238,288,216,48,211,69,35,45,1756,1817,79.9,84.7
2005,249,353,238,283,214,40,214,69,36,45,1740,1796,78.2,82.0
2006,249,350,238,277,211,34,214,68,37,44,1722,1776,76.3,79.4
2007,248,347,239,273,209,28,214,68,39,43,1707,1758,75.0,77.0
2008,247,344,240,269,206,24,212,67,40,43,1692,1740,72.6,74.8
2009,246,341,240,259,202,20,210,66,42,42,1668,1724,70.1,72.6
2010,244,339,238,254,200,17,208,66,43,42,1651,1706,68.8,70.3
2011,243,336,237,255,197,14,206,65,45,41,1639,1687,,67.9
2012,242,333,237,253,194,12,203,65,46,40,1626,1670,,65.7
2013,240,330,239,249,192,10,201,64,48,40,1612,1655,,63.7
2014,239,328,239,241,190,8,197,63,49,39,1592,1640,,61.8
2015,238,327,241,240,187,7,193,63,50,39,1584,1624,,59.8
2016,236,325,244,245,184,6,189,62,51,38,1580,1610,,58.0
2017,235,323,243,241,182,5,185,62,51,37,1564,1599,,56.6
2018,233,323,241,239,179,4,182,61,52,37,1551,1588,,55.1
2019,232,321,240,236,177,4,179,61,52,36,1537,1575,,53.5
2020,230,318,240,239,175,3,175,60,52,36,1528,1562,,51.8
2021,228,314,241,238,173,3,171,60,53,35,1515,1550,,50.3
2022,226,311,241,237,170,2,168,59,53,33,1501,1538,,48.7
2023,224,308,240,233,167,2,164,59,52,32,1482,1526,,47.1
,,,,,,,,,,,,,,
"Notes:  'Halons' represents the aggregate of H-1211, H-1301, and H-2402; 'HCFCs' represents the aggregate of HCFC-22, ",,,,,,,,,,,,,,
"HCFC-141b, and HCFC-142b; 'WMO minor' represents CFC-114, CFC-115, halon 2402 and halon 1201 (Carpenter and Daniel ",,,,,,,,,,,,,,
"et al., 2018).  SUM* represents the amount of reactive halogen weighted by fractional release factors but without ",,,,,,,,,,,,,,
"transport lag times considered, whereas reactive halogen expressed as EESC includes consideration of lag times for ",,,,,,,,,,,,,,
transport and mixing associated with transport.  Values are derived directly from measured lower ,,,,,,,,,,,,,,
tropospheric global mean abundances without any adjustments.,,,,,,,,,,,,,,
