Year,CFC-12,CFC-11,CH3Cl,CH3Br,CCl4,CH3CCl3,halons,CFC-113,HCFCs,WMO Minor,SUM* (ppt),EESC SUM (ppt),ODGI(old) Antarctic,ODGI(new) Antarctic
1992,861,789,500,583,430,400,292,215,41,72,4184,3544,97.7,69.5
1993,876,795,500,583,430,393,313,219,44,75,4228,3666,99.0,75.7
1994,885,796,501,583,426,370,336,224,48,77,4247,3784,100.0,81.5
1995,895,793,508,583,423,333,357,226,53,80,4251,3888,99.4,86.7
1996,907,789,500,585,419,296,367,227,59,82,4229,3974,99.2,91.1
1997,915,786,492,582,415,254,381,226,65,82,4199,4042,98.3,94.4
1998,920,782,505,594,412,214,391,225,70,83,4197,4090,98.8,96.8
1999,926,778,513,596,408,179,404,223,76,84,4188,4121,97.5,98.4
2000,930,773,506,572,404,149,414,222,81,84,4135,4142,95.4,99.4
2001,932,768,496,545,399,124,419,221,87,83,4073,4153,93.0,100.0
2002,934,763,491,529,394,103,424,219,92,83,4033,4153,91.9,100.0
2003,934,756,494,525,390,86,428,217,96,83,4009,4139,91.0,99.3
2004,933,750,491,515,385,72,434,215,100,82,3978,4119,89.9,98.3
2005,932,743,492,505,381,60,441,213,103,81,3953,4095,89.0,97.1
2006,931,737,492,496,377,50,442,212,107,80,3924,4070,87.9,95.8
2007,927,731,495,488,372,42,442,210,111,79,3898,4044,87.3,94.6
2008,923,724,497,481,368,35,440,208,116,79,3871,4018,85.8,93.2
2009,919,719,496,463,362,29,437,206,121,77,3828,3991,84.3,91.9
2010,913,713,493,454,357,25,435,204,125,77,3795,3964,83.5,90.5
2011,908,707,490,456,353,21,431,202,129,75,3773,3934,,89.0
2012,904,702,491,453,347,17,427,200,134,74,3749,3903,,87.5
2013,899,696,495,444,343,14,423,199,138,74,3724,3873,,86.0
2014,893,691,493,430,339,12,417,197,141,73,3686,3844,,84.6
2015,888,688,499,429,334,10,411,195,145,70,3671,3816,,83.1
2016,883,684,506,437,329,8,405,194,147,70,3662,3787,,81.7
2017,877,681,502,431,325,7,398,192,149,69,3630,3760,,80.4
2018,872,679,498,426,320,6,392,191,150,67,3602,3736,,79.1
2019,866,676,497,422,316,5,386,189,151,66,3573,3712,,77.9
2020,858,669,497,427,313,4,379,187,152,65,3551,3686,,76.7
2021,852,662,498,426,308,4,372,185,152,63,3524,3661,,75.4
2022,845,655,499,424,304,3,367,184,153,62,3496,3635,,74.1
2023,839,648,497,416,299,3,361,182,152,62,3459,3610,,72.8
,,,,,,,,,,,,,,
"Notes:  ""Halons"" represents the aggregate of H-1211, H-1301, and H-2402; ""HCFCs"" represents the aggregate of HCFC-22, ",,,,,,,,,,,,,,
"HCFC-141b, and HCFC-142b; ""WMO minor"" represents CFC-114, CFC-115, halon 2402 and halon 1201 (Carpenter and Daniel ",,,,,,,,,,,,,,
"et al., 2018).  SUM* represents the amount of reactive halogen weighted by fractional release factors but without ",,,,,,,,,,,,,,
"transport lag times considered, whereas reactive halogen expressed as EESC includes consideration of lag times for ",,,,,,,,,,,,,,
transport and mixing associated with transport.  Values are derived directly from measured lower ,,,,,,,,,,,,,,
tropospheric global mean abundances without any adjustments.,,,,,,,,,,,,,,
